지역,확진일,확진자수
강남구,2021-05-26,20
강남구,2021-05-27,16
강남구,2021-05-28,13
강남구,2021-05-29,16
강남구,2021-05-30,14
강남구,2021-05-31,20
강남구,2021-06-01,25
강남구,2021-06-02,20
강남구,2021-06-03,16
강남구,2021-06-04,22
강남구,2021-06-05,18
강남구,2021-06-06,10
강남구,2021-06-07,14
강남구,2021-06-08,25
강남구,2021-06-09,32
강남구,2021-06-10,23
강남구,2021-06-11,18
강남구,2021-06-12,27
강남구,2021-06-13,18
강남구,2021-06-14,24
강남구,2021-06-15,31
강남구,2021-06-16,29
강남구,2021-06-17,19
강남구,2021-06-18,18
강남구,2021-06-19,28
강남구,2021-06-20,21
강남구,2021-06-21,26
강남구,2021-06-22,26
강남구,2021-06-23,34
강남구,2021-06-24,31
강남구,2021-06-25,38
강남구,2021-06-26,27
강남구,2021-06-27,30
강남구,2021-06-28,36
강남구,2021-06-29,49
강남구,2021-06-30,57
강남구,2021-07-01,52
강남구,2021-07-02,52
강남구,2021-07-03,19
강남구,2021-07-04,33
강남구,2021-07-05,36
강동구,2020-02-22,1
강동구,2020-02-23,1
강동구,2020-02-25,1
강동구,2020-02-28,1
강동구,2020-03-09,1
강동구,2020-03-20,2
강동구,2020-03-23,1
강동구,2020-03-26,1
강동구,2020-03-30,1
강동구,2020-04-02,1
강동구,2020-04-03,1
강동구,2020-04-05,1
강동구,2020-05-02,1
강동구,2020-05-08,1
강동구,2020-05-10,1
강동구,2020-05-13,1
강동구,2020-05-14,2
강동구,2020-05-19,1
강동구,2020-05-22,1
강동구,2020-05-23,1
강동구,2020-05-25,1
강동구,2020-05-27,1
강동구,2020-06-01,1
강동구,2020-06-02,1
강동구,2020-06-04,2
강동구,2020-06-05,2
강동구,2020-06-07,1
강동구,2020-06-11,1
강동구,2020-06-12,1
강동구,2020-06-22,2
강동구,2020-07-01,2
강동구,2020-07-02,1
강동구,2020-07-09,1
강동구,2020-07-11,2
강동구,2020-07-12,3
강동구,2020-07-14,1
강동구,2020-07-15,1
강동구,2020-07-20,1
강동구,2020-07-26,1
강동구,2020-07-30,1
강동구,2020-08-14,5
강동구,2020-08-15,2
강동구,2020-08-16,5
강동구,2020-08-17,5
강동구,2020-08-18,8
강동구,2020-08-19,15
강동구,2020-08-20,4
강동구,2020-08-21,3
강동구,2020-08-22,12
강동구,2020-08-23,4
강동구,2020-08-24,10
강동구,2020-08-25,5
강동구,2020-08-26,2
강동구,2020-08-27,7
